CrimeDescription,Category
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,ASSAULT
BIGAMY,MISCELLANEOUS
BIKE - ATTEMPTED STOLEN,THEFT
BLOCKING DOOR INDUCTION CENTER,PUBLIC ORDER CRIME
BOAT - STOLEN,THEFT
BOMB SCARE,PUBLIC ORDER CRIME
BRIBERY,FINANCIAL CRIME
"BUNCO, ATTEMPT",FINANCIAL CRIME
CHILD ABANDONMENT,MISCELLANEOUS
CHILD ANNOYING (17YRS & UNDER),MISCELLANEOUS
CHILD NEGLECT (SEE 300 W.I.C.),MISCELLANEOUS
CHILD PORNOGRAPHY,MISCELLANEOUS
CHILD STEALING,VIOLENT CRIME
CONSPIRACY,MISCELLANEOUS
CONTEMPT OF COURT,MISCELLANEOUS
CONTRIBUTING,MISCELLANEOUS
COUNTERFEIT,PROPERTY CRIME
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",FINANCIAL CRIME
CRIMINAL THREATS - NO WEAPON DISPLAYED,VIOLENT CRIME
CRUELTY TO ANIMALS,MISCELLANEOUS
DISHONEST EMPLOYEE ATTEMPTED THEFT,THEFT
DISRUPT SCHOOL,PUBLIC ORDER CRIME
DOCUMENT WORTHLESS ($200 & UNDER),FINANCIAL CRIME
DOCUMENT WORTHLESS ($200.01 & OVER),FINANCIAL CRIME
DRIVING WITHOUT OWNER CONSENT (DWOC),THEFT
DRUNK ROLL,THEFT
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",FINANCIAL CRIME
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",FINANCIAL CRIME
"CREDIT CARDS, FRAUD USE ($950 & UNDER",FINANCIAL CRIME
EXTORTION,FINANCIAL CRIME
FAILURE TO DISPERSE,PUBLIC ORDER CRIME
FAILURE TO YIELD,PUBLIC ORDER CRIME
FALSE POLICE REPORT,MISCELLANEOUS
GRAND THEFT / AUTO REPAIR,THEFT
GRAND THEFT / INSURANCE FRAUD,FINANCIAL CRIME
KIDNAPPING - GRAND ATTEMPT,VIOLENT CRIME
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",MISCELLANEOUS
LEWD CONDUCT,MISCELLANEOUS
LYNCHING,VIOLENT CRIME
LYNCHING - ATTEMPTED,VIOLENT CRIME
OFFENCE AGAINST A PERSON,VIOLENT CRIME
ORAL COPULATION,ASSAULT
OTHER ASSAULT,ASSAULT
OTHER THEFT,THEFT
PANDERING,MISCELLANEOUS
PEEPING TOM,MISCELLANEOUS
PETTY THEFT - AUTO REPAIR,THEFT
PICKPOCKET,THEFT
"PICKPOCKET, ATTEMPT",THEFT
PIMPING,MISCELLANEOUS
PURSE SNATCHING - ATTEMPT,THEFT
"RAPE, ATTEMPTED",ASSAULT
"RAPE, FORCIBLE",ASSAULT
RECKLESS DRIVING,PUBLIC ORDER CRIME
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",WEAPONS CRIME
RESISTING ARREST,PUBLIC ORDER CRIME
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,MISCELLANEOUS
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",ASSAULT
SEXUAL PENETRATION W/FOREIGN OBJECT,ASSAULT
SHOPLIFTING - ATTEMPT,THEFT
SHOPLIFTING - PETTY THEFT ($950 & UNDER),THEFT
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),THEFT
SHOTS FIRED AT INHABITED DWELLING,WEAPONS CRIME
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",WEAPONS CRIME
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,ASSAULT
STALKING,VIOLENT CRIME
TELEPHONE PROPERTY - DAMAGE,PROPERTY CRIME
THEFT FROM PERSON - ATTEMPT,THEFT
THEFT OF IDENTITY,THEFT
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",THEFT
THREATENING PHONE CALLS/LETTERS,VIOLENT CRIME
THROWING OBJECT AT MOVING VEHICLE,VIOLENT CRIME
TRAIN WRECKING,VIOLENT CRIME
UNAUTHORIZED COMPUTER ACCESS,FINANCIAL CRIME
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",PROPERTY CRIME
VANDALISM - MISDEAMEANOR ($399 OR UNDER),PROPERTY CRIME
VEHICLE - ATTEMPT STOLEN,THEFT
VEHICLE COLLISION OR PEDESTRIAN STRUCK (WITH FATALITY),VIOLENT CRIME
VEHICLE COLLISION OR PEDESTRIAN STRUCK (WITH INJURY),VIOLENT CRIME
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",THEFT
VIOLATION OF COURT ORDER,MISCELLANEOUS
VIOLATION OF RESTRAINING ORDER,MISCELLANEOUS
VIOLATION OF TEMPORARY RESTRAINING ORDER,MISCELLANEOUS
WEAPONS POSSESSION/BOMBING,WEAPONS CRIME
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,VIOLENT CRIME
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",THEFT
"BUNCO, PETTY THEFT",FINANCIAL CRIME
DOCUMENT FORGERY / STOLEN FELONY,FINANCIAL CRIME
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),VIOLENT CRIME
DISTURBING THE PEACE,PUBLIC ORDER CRIME
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",THEFT
BRANDISH WEAPON,WEAPONS CRIME
BURGLARY FROM VEHICLE,PROPERTY CRIME
ATTEMPTED ROBBERY,VIOLENT CRIME
ARSON,PROPERTY CRIME
INCITING A RIOT,PUBLIC ORDER CRIME
"THEFT, COIN MACHINE - ATTEMPT",THEFT
BIKE - STOLEN,THEFT
BURGLARY,PROPERTY CRIME
ROBBERY,VIOLENT CRIME
"BUNCO, GRAND THEFT",FINANCIAL CRIME
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",ASSAULT
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),ASSAULT
THEFT FROM VEHICLE,THEFT
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,ASSAULT
DISHONEST EMPLOYEE - GRAND THEFT,THEFT
LEWD/LASCIVIOUS ACTS WITH CHILD,ASSAULT
HOMICIDE,VIOLENT CRIME
BATTERY ON A FIREFIGHTER,ASSAULT
OTHER MISCELLANEOUS CRIME,MISCELLANEOUS
INDECENT EXPOSURE,ASSAULT
"BURGLARY, ATTEMPTED",PROPERTY CRIME
MISCHIEF,PROPERTY CRIME
BREAK AND ENTER RESIDENTIAL/OTHER,PROPERTY CRIME
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),THEFT
"BURGLARY FROM VEHICLE, ATTEMPTED",PROPERTY CRIME
INTIMATE PARTNER - SIMPLE ASSAULT,ASSAULT
BATTERY WITH SEXUAL CONTACT,ASSAULT
DISCHARGE FIREARMS/SHOTS FIRED,WEAPONS CRIME
FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),WEAPONS CRIME
FALSE IMPRISONMENT,VIOLENT CRIME
TILL TAP - PETTY ($950 & UNDER),THEFT
THEFT OF BICYCLE,THEFT
FIREARMS RESTRAINING ORDER (FIREARMS RO),WEAPONS CRIME
BATTERY - SIMPLE ASSAULT,ASSAULT
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",ASSAULT
THEFT FROM MOTOR VEHICLE - ATTEMPT,THEFT
PROWLER,PUBLIC ORDER CRIME
BATTERY POLICE (SIMPLE),ASSAULT
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,HUMAN TRAFFICKING
KIDNAPPING,VIOLENT CRIME
TILL TAP - GRAND THEFT ($950.01 & OVER),THEFT
"THEFT, PERSON",THEFT
INTIMATE PARTNER - AGGRAVATED ASSAULT,ASSAULT
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",THEFT
"MANSLAUGHTER, NEGLIGENT",VIOLENT CRIME
PURSE SNATCHING,THEFT
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),THEFT
VEHICLE - STOLEN,THEFT
TRESPASSING,PROPERTY CRIME
DISHONEST EMPLOYEE - PETTY THEFT,THEFT
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",THEFT
ILLEGAL DUMPING,PUBLIC ORDER CRIME
BREAK AND ENTER COMMERCIAL,PROPERTY CRIME
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,HUMAN TRAFFICKING
CRIMINAL HOMICIDE,VIOLENT CRIME
THEFT PLAIN - ATTEMPT,THEFT
THEFT OF VEHICLE,THEFT
THEFT PLAIN - PETTY ($950 & UNDER),THEFT
"DRUGS, TO A MINOR",NARCOTICS
KIDNAPPING/ABDUCTION KIDNAPPING/ABDUCTION,VIOLENT CRIME
LARCENY OFFENSES THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,THEFT
BRIBERY BRIBERY,FINANCIAL CRIME
ASSAULT OFFENSES SIMPLE ASSAULT,ASSAULT
DRUG/NARCOTIC OFFENSES DRUG/NARCOTIC VIOLATIONS,NARCOTICS
HUMAN TRAFFICKING OFFENSES COMMERCIAL SEX ACTS,HUMAN TRAFFICKING
FRAUD OFFENSES IMPERSONATION,FINANCIAL CRIME
ARSON ARSON,PROPERTY CRIME
PROSTITUTION OFFENSES PURCHASING PROSTITUTION,MISCELLANEOUS
MOTOR VEHICLE THEFT MOTOR VEHICLE THEFT,THEFT
FRAUD OFFENSES FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,FINANCIAL CRIME
FRAUD OFFENSES WIRE FRAUD,FINANCIAL CRIME
SEX OFFENSES SODOMY,ASSAULT
LARCENY OFFENSES THEFT FROM MOTOR VEHICLE,THEFT
LARCENY OFFENSES PURSE-SNATCHING,THEFT
HOMICIDE OFFENSES NEGLIGENT MANSLAUGHTER WITH A VEHICLE,VIOLENT CRIME
EXTORTION/BLACKMAIL EXTORTION/BLACKMAIL,FINANCIAL CRIME
FRAUD OFFENSES WELFARE FRAUD,FINANCIAL CRIME
DRUG/NARCOTIC OFFENSES DRUG EQUIPMENT VIOLATIONS,NARCOTICS
HOMICIDE OFFENSES NEGLIGENT MANSLAUGHTER,VIOLENT CRIME
ROBBERY ROBBERY,VIOLENT CRIME
PROSTITUTION OFFENSES ASSISTING OR PROMOTING PROSTITUTION,MISCELLANEOUS
ANIMAL CRUELTY OFFENSES ANIMAL CRUELTY,MISCELLANEOUS
WEAPON LAW VIOLATIONS WEAPONS LAW VIOLATIONS,WEAPONS CRIME
FRAUD OFFENSES CREDIT CARD/ATM FRAUD,FINANCIAL CRIME
ASSAULT OFFENSES AGGRAVATED ASSAULT,ASSAULT
SEX OFFENSES FONDLING,ASSAULT
STOLEN PROPERTY OFFENSES STOLEN PROPERTY OFFENSES,THEFT
BURGLARY BURGLARY,PROPERTY CRIME
EMBEZZLEMENT EMBEZZLEMENT,FINANCIAL CRIME
PORNOGRAPHY/OBSCENE MATERIAL PORNOGRAPHY/OBSCENE MATERIAL,MISCELLANEOUS
HUMAN TRAFFICKING OFFENSES INVOLUNTARY SERVITUDE,HUMAN TRAFFICKING
LARCENY OFFENSES POCKET-PICKING,THEFT
SEX OFFENSES STATUTORY RAPE,ASSAULT
FRAUD OFFENSES IDENTITY THEFT,FINANCIAL CRIME
HOMICIDE OFFENSES MURDER AND NON-NEGLIGENT MANSLAUGHTER,VIOLENT CRIME
ASSAULT OFFENSES INTIMIDATION,VIOLENT CRIME
LARCENY OFFENSES THEFT FROM COIN-OPERATED MACHINE OR DEVICE,THEFT
LARCENY OFFENSES THEFT FROM BUILDING,THEFT
GAMBLING OFFENSES OPERATING/PROMOTING/ASSISTING GAMBLING,MISCELLANEOUS
LARCENY OFFENSES SHOPLIFTING,THEFT
PROSTITUTION OFFENSES PROSTITUTION,MISCELLANEOUS
COUNTERFEITING/FORGERY COUNTERFEITING/FORGERY,FINANCIAL CRIME
LARCENY OFFENSES ALL OTHER LARCENY,THEFT
VANDALISM VANDALISM,PROPERTY CRIME
FRAUD OFFENSES HACKING/COMPUTER INVASION,CYBERCRIME
SEX OFFENSES RAPE,ASSAULT
SEX OFFENSES INCEST,ASSAULT
SEX OFFENSES SEXUAL ASSAULT WITH AN OBJECT,ASSAULT
CRIMINAL SEXUAL ASSAULT ATTEMPT AGGRAVATED - OTHER,ASSAULT
DECEPTIVE PRACTICE ATTEMPT - FINANCIAL IDENTITY THEFT,FINANCIAL CRIME
ASSAULT AGG PRO.EMP: OTHER DANG WEAPON,ASSAULT
ROBBERY ARMED: HANDGUN,VIOLENT CRIME
OTHER OFFENSE EAVESDROPPING,MISCELLANEOUS
NARCOTICS POSSESSION - SYNTHETIC MARIJUANA,NARCOTICS
STALKING CYBERSTALKING,CYBERCRIME
OFFENSE INVOLVING CHILDREN CONTRIBUTE TO THE DELINQUENCY OF CHILD,MISCELLANEOUS
PROSTITUTION SOLICIT FOR BUSINESS,MISCELLANEOUS
BATTERY AGGRAVATED DOMESTIC BATTERY - HANDGUN,ASSAULT
OBSCENITY OBSCENITY,MISCELLANEOUS
ASSAULT AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,ASSAULT
OFFENSE INVOLVING CHILDREN CONTRIBUTE DELINQUENCY OF A CHILD,MISCELLANEOUS
NARCOTICS MANU/DELIVER:COCAINE,NARCOTICS
NARCOTICS POSSESS - AMPHETAMINES,NARCOTICS
PUBLIC PEACE VIOLATION FALSE FIRE ALARM,PUBLIC ORDER CRIME
SEX OFFENSE AGG CRIMINAL SEXUAL ABUSE,ASSAULT
BATTERY AGGRAVATED DOMESTIC BATTERY,ASSAULT
PROSTITUTION OTHER PROSTITUTION OFFENSE,MISCELLANEOUS
ARSON ATTEMPT ARSON,PROPERTY CRIME
BURGLARY FORCIBLE ENTRY,PROPERTY CRIME
BATTERY AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,ASSAULT
NARCOTICS MANU/DELIVER:AMPHETAMINES,NARCOTICS
CONCEALED CARRY LICENSE VIOLATION ARMED WHILE UNDER THE INFLUENCE,WEAPONS CRIME
OTHER OFFENSE VIOLATION OF CIVIL NO CONTACT ORDER,MISCELLANEOUS
CRIM SEXUAL ASSAULT AGGRAVATED: OTHER DANG WEAPON,ASSAULT
GAMBLING GAME / AMUSEMENT DEVICE,MISCELLANEOUS
DECEPTIVE PRACTICE THEFT OF LOST/MISLAID PROP,FINANCIAL CRIME
ASSAULT AGG PO HANDS NO/MIN INJURY,ASSAULT
GAMBLING REGISTER FED GAMBLING STAMP,MISCELLANEOUS
ROBBERY ATTEMPT: ARMED-OTHER DANG WEAP,VIOLENT CRIME
WEAPONS VIOLATION POSS FIREARM/AMMO:NO FOID CARD,WEAPONS CRIME
OFFENSE INVOLVING CHILDREN POS: PORNOGRAPHIC PRINT,MISCELLANEOUS
THEFT AGGRAVATED: FINANCIAL IDENTITY THEFT,FINANCIAL CRIME
OTHER OFFENSE GUN OFFENDER: DUTY TO REGISTER,MISCELLANEOUS
"BATTERY AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",ASSAULT
OTHER OFFENSE ABUSE / NEGLECT - CARE FACILITY,MISCELLANEOUS
NARCOTICS MANU/DELIVER: METHAMPHETAMINES,NARCOTICS
OFFENSE INVOLVING CHILDREN ENDANGERING LIFE/HEALTH CHILD,MISCELLANEOUS
BURGLARY HOME INVASION,PROPERTY CRIME
BATTERY AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,ASSAULT
OFFENSE INVOLVING CHILDREN CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,ASSAULT
OFFENSE INVOLVING CHILDREN AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,ASSAULT
KIDNAPPING CHILD ABDUCTION / STRANGER,VIOLENT CRIME
OFFENSE INVOLVING CHILDREN CHILD PORNOGRAPHY,MISCELLANEOUS
BATTERY AGGRAVATED: KNIFE / CUTTING INSTRUMENT,ASSAULT
NARCOTICS MANU/DELIVER:BARBITUATES,NARCOTICS
OTHER OFFENSE HARASSMENT BY ELECTRONIC MEANS,CYBERCRIME
ARSON POS: EXPLOSIVE/INCENDIARY DEV,PROPERTY CRIME
NARCOTICS ALTER/FORGE PRESCRIPTION,NARCOTICS
GAMBLING BOLITA OR BOLI PUL/RUNNER,MISCELLANEOUS
BATTERY AGGRAVATED: OTHER DANGEROUS WEAPON,ASSAULT
DECEPTIVE PRACTICE COUNTERFEITING DOCUMENT,FINANCIAL CRIME
GAMBLING WIREROOM/SPORTS,MISCELLANEOUS
NARCOTICS POSSESSION OF DRUG EQUIPMENT,NARCOTICS
CRIM SEXUAL ASSAULT ATTEMPT AGG: HANDGUN,ASSAULT
NON-CRIMINAL GUN OFFENDER NOTIFICATION-NO CONTACT,MISCELLANEOUS
NON-CRIMINAL FOID - REVOCATION,MISCELLANEOUS
BATTERY AGGRAVATED DOMESTIC BATTERY: KNIFE / CUTTING INSTSTRUMENT,ASSAULT
NARCOTICS POSSESS - HEROIN (TAN / BROWN TAR),NARCOTICS
OTHER OFFENSE HARASSMENT BY TELEPHONE,MISCELLANEOUS
OTHER OFFENSE VIOLENT OFFENDER: DUTY TO REGISTER,MISCELLANEOUS
NARCOTICS SALE/DEL HYPODERMIC NEEDLE,NARCOTICS
NARCOTICS POSS: AMPHETAMINES,NARCOTICS
BATTERY OF UNBORN CHILD,ASSAULT
ROBBERY ATTEMPT STRONG ARM - NO WEAPON,VIOLENT CRIME
ROBBERY ATTEMPT ARMED - HANDGUN,VIOLENT CRIME
SEX OFFENSE ADULTRY,MISCELLANEOUS
"ASSAULT PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",ASSAULT
OTHER OFFENSE POSSESSION OF BURGLARY TOOLS,PROPERTY CRIME
NARCOTICS MANU/DEL:CANNABIS 10GM OR LESS,NARCOTICS
WEAPONS VIOLATION UNLAWFUL USE HANDGUN,WEAPONS CRIME
CRIMINAL SEXUAL ASSAULT ATTEMPT AGGRAVATED - HANDGUN,ASSAULT
GAMBLING GAME/AMUSEMENT DEVICE,MISCELLANEOUS
NARCOTICS POS: HYPODERMIC NEEDLE,NARCOTICS
RITUALISM AGG RITUAL MUT:KNIFE/CUTTING I,MISCELLANEOUS
WEAPONS VIOLATION UNLAWFUL SALE - OTHER FIREARM,WEAPONS CRIME
THEFT FINANCIAL IDENTITY THEFT: OVER $300,FINANCIAL CRIME
WEAPONS VIOLATION UNLAWFUL POSS AMMUNITION,WEAPONS CRIME
BATTERY AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,ASSAULT
SEX OFFENSE AGGRAVATED CRIMINAL SEXUAL ABUSE,ASSAULT
PROSTITUTION CALL OPERATION,PROSTITUTION
ASSAULT AGGRAVATED: OTHER DANG WEAPON,ASSAULT
BATTERY AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,ASSAULT
ASSAULT AGGRAVATED: OTHER FIREARM,ASSAULT
BATTERY AGGRAVATED: HANDGUN,ASSAULT
BATTERY AGGRAVATED PO: OTHER FIREARM,ASSAULT
ASSAULT AGGRAVATED POLICE OFFICER - HANDGUN,ASSAULT
ASSAULT AGGRAVATED POLICE OFFICER - OTHER FIREARM,ASSAULT
ASSAULT AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,ASSAULT
ASSAULT AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,ASSAULT
ASSAULT AGGRAVATED PROTECTED EMPLOYEE - OTHER FIREARM,ASSAULT
ASSAULT AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,ASSAULT
ASSAULT AGGRAVATED POLICE OFFICER - KNIFE / CUTTING INSTRUMENT,ASSAULT
ASSAULT SIMPLE,ASSAULT
BATTERY SIMPLE,ASSAULT
BATTERY AGGRAVATED PO: HANDGUN,ASSAULT
BATTERY AGGRAVATED PO: OTHER DANG WEAP,ASSAULT
BATTERY AGGRAVATED PO: OTHER DANGEROUS WEAPON,ASSAULT
BATTERY AGGRAVATED: HANDS / FIST / FEET NO / MINOR INJURY,ASSAULT
BATTERY AGGRAVATED: OTHER FIREARM,ASSAULT
BATTERY AGGRAVATED:KNIFE/CUTTING INSTR,ASSAULT
BATTERY AGG PRO EMP HANDS SERIOUS INJ,ASSAULT
BATTERY AGG PRO.EMP: HANDGUN,ASSAULT
BATTERY AGGRAVATED: OTHER DANG WEAPON,ASSAULT
THEFT POCKET-PICKING,THEFT
THEFT OVER $500,THEFT
THEFT $500 AND UNDER,THEFT
THEFT FROM COIN-OP MACHINE/DEVICE,THEFT
THEFT FROM COIN-OPERATED MACHINE OR DEVICE,THEFT
THEFT FROM BUILDING,THEFT
THEFT RETAIL THEFT,THEFT
THEFT DELIVERY CONTAINER THEFT,THEFT
THEFT $300 AND UNDER,THEFT
ROBBERY ARMED: OTHER FIREARM,VIOLENT CRIME
ROBBERY ATTEMPT: ARMED-HANDGUN,VIOLENT CRIME
ROBBERY ATTEMPT: ARMED-OTHER FIREARM,VIOLENT CRIME
ROBBERY ATTEMPT ARMED - OTHER DANGEROUS WEAPON,VIOLENT CRIME
ROBBERY ATTEMPT ARMED - OTHER FIREARM,VIOLENT CRIME
ROBBERY ATTEMPT AGGRAVATED,VIOLENT CRIME
ROBBERY STRONGARM - NO WEAPON,VIOLENT CRIME
ROBBERY STRONG ARM - NO WEAPON,VIOLENT CRIME
ROBBERY ARMED - HANDGUN,VIOLENT CRIME
ROBBERY ARMED - KNIFE / CUTTING INSTRUMENT,VIOLENT CRIME
ROBBERY ARMED - OTHER FIREARM,VIOLENT CRIME
ROBBERY ARMED - OTHER DANGEROUS WEAPON,VIOLENT CRIME
ROBBERY ARMED: OTHER DANGEROUS WEAPON,VIOLENT CRIME
ROBBERY VEHICULAR HIJACKING,VIOLENT CRIME
CRIMINAL DAMAGE INSTITUTIONAL VANDALISM,PROPERTY CRIME
CRIMINAL DAMAGE LIBRARY VANDALISM,PROPERTY CRIME
CRIMINAL DAMAGE TO FIRE FIGHT.APP.EQUIP,PROPERTY CRIME
CRIMINAL DAMAGE TO CITY OF CHICAGO PROPERTY,PROPERTY CRIME
CRIMINAL DAMAGE TO STATE SUPPORTED PROPERTY,PROPERTY CRIME
CRIMINAL DAMAGE TO STATE SUP PROP,PROPERTY CRIME
CRIMINAL DAMAGE TO PROPERTY,PROPERTY CRIME
CRIMINAL DAMAGE TO VEHICLE,PROPERTY CRIME
ARSON BY EXPLOSIVE,PROPERTY CRIME
ARSON POSSESSION - EXPLOSIVE / INCENDIARY DEVICE,PROPERTY CRIME
ARSON POS: CHEMICAL/DRY-ICE DEVICE,PROPERTY CRIME
DECEPTIVE PRACTICE IMPERSONATION,FINANCIAL CRIME
DECEPTIVE PRACTICE UNIDENTIFIABLE RECORDING SOUND,FINANCIAL CRIME
DECEPTIVE PRACTICE FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,FINANCIAL CRIME
DECEPTIVE PRACTICE ALTER COINS,FINANCIAL CRIME
"DECEPTIVE PRACTICE THEFT BY LESSEE, NON-MOTOR VEHICLE",FINANCIAL CRIME
"DECEPTIVE PRACTICE THEFT BY LESSEE,MOTOR VEH",FINANCIAL CRIME
"DECEPTIVE PRACTICE THEFT BY LESSEE, MOTOR VEHICLE",FINANCIAL CRIME
DECEPTIVE PRACTICE PAY TV SERVICE OFFENSES,FINANCIAL CRIME
DECEPTIVE PRACTICE COMPUTER FRAUD,CYBERCRIME
DECEPTIVE PRACTICE FINANCIAL IDENTITY THEFT OVER $ 300,FINANCIAL CRIME
DECEPTIVE PRACTICE FRAUD OR CONFIDENCE GAME,FINANCIAL CRIME
DECEPTIVE PRACTICE BOGUS CHECK,FINANCIAL CRIME
DECEPTIVE PRACTICE CREDIT CARD FRAUD,FINANCIAL CRIME
DECEPTIVE PRACTICE POSS. KEYS OR DEV.TO COIN MACH,FINANCIAL CRIME
DECEPTIVE PRACTICE DECEPTIVE COLLECTION PRACTICES,FINANCIAL CRIME
DECEPTIVE PRACTICE STOLEN PROP: BUY/RECEIVE/POS.,FINANCIAL CRIME
DECEPTIVE PRACTICE THEFT OF LABOR/SERVICES,FINANCIAL CRIME
DECEPTIVE PRACTICE THEFT OF LABOR / SERVICES,FINANCIAL CRIME
DECEPTIVE PRACTICE THEFT OF LOST / MISLAID PROPERTY,FINANCIAL CRIME
DECEPTIVE PRACTICE UNAUTHORIZED VIDEOTAPING,CYBERCRIME
WEAPONS VIOLATION UNLAWFUL SALE/DELIVERY OF FIREARM AT SCHOOL,WEAPONS CRIME
WEAPONS VIOLATION UNLAWFUL USE OTHER DANG WEAPON,WEAPONS CRIME
WEAPONS VIOLATION UNLAWFUL POSS OF HANDGUN,WEAPONS CRIME
WEAPONS VIOLATION UNLAWFUL POSSESSION - AMMUNITION,WEAPONS CRIME
WEAPONS VIOLATION DEFACE IDENT MARKS OF FIREARM,WEAPONS CRIME
WEAPONS VIOLATION UNLAWFUL USE / SALE OF AIR RIFLE,WEAPONS CRIME
WEAPONS VIOLATION UNLAWFUL USE OTHER FIREARM,WEAPONS CRIME
WEAPONS VIOLATION UNLAWFUL SALE OTHER FIREARM,WEAPONS CRIME
WEAPONS VIOLATION RECKLESS FIREARM DISCHARGE,WEAPONS CRIME
WEAPONS VIOLATION DEFACE IDENTIFICATION MARKS OF FIREARM,WEAPONS CRIME
WEAPONS VIOLATION UNLAWFUL USE - HANDGUN,WEAPONS CRIME
WEAPONS VIOLATION UNLAWFUL SALE - HANDGUN,WEAPONS CRIME
WEAPONS VIOLATION UNLAWFUL USE/SALE AIR RIFLE,WEAPONS CRIME
WEAPONS VIOLATION UNLAWFUL USE - OTHER FIREARM,WEAPONS CRIME
NARCOTICS POSSESS - CANNABIS 30 GRAMS OR LESS,NARCOTICS
NARCOTICS POSSESS - BARBITURATES,NARCOTICS
NARCOTICS POSSESS - PCP,NARCOTICS
NARCOTICS POSS: SYNTHETIC DRUGS,NARCOTICS
NARCOTICS MANU/POSS. W/INTENT TO DELIVER: SYNTHETIC MARIJUANA,NARCOTICS
NARCOTICS MANUFACTURE / DELIVER - CRACK,NARCOTICS
NARCOTICS MANUFACTURE / DELIVER - HEROIN (TAN / BROWN TAR),NARCOTICS
NARCOTICS MANUFACTURE / DELIVER - SYNTHETIC DRUGS,NARCOTICS
NARCOTICS MANUFACTURE / DELIVER - HALLUCINOGEN,NARCOTICS
NARCOTICS MANUFACTURE / DELIVER - PCP,NARCOTICS
NARCOTICS MANUFACTURE / DELIVER - BARBITURATES,NARCOTICS
NARCOTICS MANUFACTURE / DELIVER - METHAMPHETAMINE,NARCOTICS
NARCOTICS MANUFACTURE / DELIVER - COCAINE,NARCOTICS
NARCOTICS MANUFACTURE / DELIVER - CANNABIS 10 GRAMS OR LESS,NARCOTICS
NARCOTICS MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,NARCOTICS
NARCOTICS MANUFACTURE / DELIVER -  HEROIN (WHITE),NARCOTICS
NARCOTICS POSSESS - CANNABIS MORE THAN 30 GRAMS,NARCOTICS
NARCOTICS POSSESS - HALLUCINOGENS,NARCOTICS
NARCOTICS POSSESS - CRACK,NARCOTICS
NARCOTICS POSS: HEROIN(BRN/TAN),NARCOTICS
NARCOTICS MANU/DELIVER:SYNTHETIC DRUGS,NARCOTICS
NARCOTICS POSS: CANNABIS 30GMS OR LESS,NARCOTICS
NARCOTICS MANU/DELIVER:HEROIN(BLACK TAR),NARCOTICS
